Commodity,15 Minutes,Hourly,Daily,1 Week,1 Month,YTD,3 Years
Gold,-0.03%,-0.03%,0.42%,0.67%,8.19%,0.39%,37.63%
Silver,-0.04%,-0.04%,1.45%,1.30%,9.65%,7.11%,57.47%
Copper,-0.09%,-0.09%,-0.03%,3.76%,4.66%,32.60%,44.77%
Platinum,0.03%,0.03%,0.52%,-0.81%,-1.21%,10.11%,31.53%
Brent Oil,-0.18%,-0.18%,2.21%,3.20%,5.35%,36.78%,-7.74%
Crude Oil WTI,-0.19%,-0.19%,2.94%,3.33%,7.38%,40.70%,3.74%
Natural Gas,-0.06%,-0.06%,3.52%,6.11%,5.46%,21.74%,4.36%
Heating Oil,-0.10%,-0.10%,2.87%,3.02%,9.15%,42.03%,-3.65%
US Coffee C,0.29%,0.29%,1.74%,9.47%,17.72%,28.46%,34.22%
US Corn,-0.02%,-0.02%,0.97%,6.96%,-3.15%,37.07%,69.45%
US Wheat,0.07%,0.07%,1.67%,2.77%,-8.55%,5.20%,29.08%
